,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
min_NeighDiff_shell1_NpUnfilled,-0.14863853295896995,0.009697969628195392,-0.047518860335148634,0.006269931447884754,0.6202666849256417,-0.049818604265178715,-0.05009996095343666,-0.029346732066650436,0.018310207708028926,0.031415689792226316,0.583583667048743,0.024636050454727138,0.051103662756824986,-0.02053292341370277,-0.0013779012743132706
max_NeighDiff_shell1_NpUnfilled,-0.05417705043157735,0.03572238493728108,0.11495142096901956,-0.01870409656696337,-0.003722459555571618,0.10586462760807225,-0.04954455197731039,-0.056665567130582184,-0.023350485697175336,0.0090176866031232,0.8924252975219339,0.08762519708002267,0.029837622305776922,-0.10995489512276982,-0.03504587906438774
range_NeighDiff_shell1_NpUnfilled,0.0411452484934115,0.03485299923474788,0.16741044947144884,-0.02621370423188903,-0.43969703374143915,0.15842748168628756,-0.022615020094660907,-0.04548600954388802,-0.04008326579104034,-0.011533669861849064,0.6311480988647235,0.08489784447635296,-0.001071912312585794,-0.11381891963896408,-0.039903781120088015
mean_NeighDiff_shell1_NdUnfilled,-0.1865378735976738,-0.02202678013549578,0.05929575385094551,0.8333901706200076,0.14107815023647138,-0.06938327254664509,-0.13053566042534936,0.039301326153923795,0.05195130490997245,0.16109171840925263,-0.013458401936338805,0.06536755599160736,0.1867511944401749,0.00492237287201853,-0.06742829311354798
var_NeighDiff_shell1_NdUnfilled,0.14294156561363355,0.024675088003832897,0.12049266440646518,0.8260295678448991,0.08468538178151315,-0.12453658903841892,-0.06273481010897224,-0.05764999482977816,0.03112316917347384,0.14186153222871434,-0.10008693122863144,0.004781629715831102,-0.061560096806686546,-0.13149499805272577,-0.033464337284728
min_NeighDiff_shell1_NdUnfilled,-0.39264182846772494,-0.034400718444594976,-0.0006321990034262681,0.5189364222931665,0.032432214254151034,0.021864300841166175,-0.13186576373452402,0.12017958081368402,0.009395250342151077,0.14151024570762627,0.04020933348430636,0.08125787546049262,0.3021782963423437,0.10687271937480639,-0.05962538510002689
max_NeighDiff_shell1_NdUnfilled,0.09967528739106271,0.03041374467833182,0.15198761608781794,0.8665271862750831,0.05861521382464789,-0.12369626389533145,-0.05083649502845398,-0.1059637094076773,0.026177445304255188,0.15760721364397315,-0.06809236736911953,-0.025153824885175376,-0.09790297346170088,-0.026935521203873315,-0.01700319925733944
range_NeighDiff_shell1_NdUnfilled,0.25879560988428824,0.045939214099551394,0.16333897675800915,0.7291759326465421,0.05035699398404017,-0.14119070677983322,-0.0035584414221305903,-0.16018124438244188,0.024457245594569434,0.11440214243956932,-0.0886175157768524,-0.05841477749417649,-0.2219111402242607,-0.07023204684504876,0.004811642580026586
mean_NeighDiff_shell1_NfUnfilled,-0.16297382644381697,0.10035916284767986,0.05268428539893735,-0.062039950658694755,0.05257257269525254,-0.019764760307270392,-0.0664946894139368,0.13823752877136455,0.00991103178527829,0.887619329175159,0.04217960296583102,-0.019058554226631445,0.12808883181134553,-0.013265554430171456,-0.01939840539708077
var_NeighDiff_shell1_NfUnfilled,-0.06394712441319572,0.15627595955360934,-0.005374193216573583,-0.011301331131444811,0.008990020000455973,-0.021668489451217007,-0.040370930553677145,0.05101233706889128,0.02695802539487231,0.8847442589118156,0.023450000401765342,-0.026131194003897563,-0.013282314612251668,-0.1148821289023675,0.061933897605296245
