,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
max_NeighDiff_shell1_MendeleevNumber,0.08039603369290499,0.057681161431994116,0.10089645605991893,0.008583731586307541,-0.04371412136426171,-0.06450449264397755,0.008467328910304148,0.01569313131337547,0.04531726460978948,-0.06269474547873939,0.017987205387946847,-0.03918521708634871,-0.05199627442023664,-0.021787560275418047,-0.03105622015397853
range_NeighDiff_shell1_MendeleevNumber,0.08808496512271333,0.027624668105459355,0.03306358032316925,-0.008561205014070032,-0.07927154337553283,-0.07957976829316975,0.040808394366183845,0.019004741738528536,0.06483785460830095,-0.05645798946414752,0.029996091875387623,-0.051771383564045884,-0.04673950436804498,0.010332623832663763,-0.050364236376178
mean_NeighDiff_shell1_AtomicWeight,-0.02814669462557632,0.1488370976265642,-0.02660374787601169,-0.02830925754815752,0.04636371791790438,0.05537044454274008,-0.046713314400203494,-0.04385914433937872,-0.0017076799645315782,0.041171904092148125,0.0007152763733195226,0.0474372224678608,0.05167965980876894,0.0008843851870439396,-0.05965839772005944
var_NeighDiff_shell1_AtomicWeight,0.005164843318015497,0.1353562087148596,-0.08680968085548631,-0.021581013336809673,-0.026317182184551823,0.0014094908229568771,0.020547963476527313,-0.07104146382730352,0.007993375143551371,0.04591995709959288,0.025334363025667744,0.023840056033198668,-0.0011226679462153998,-0.028781418044312963,0.05116788206897699
min_NeighDiff_shell1_AtomicWeight,-0.04579837522660515,0.10996121560812801,0.009136488898450748,-0.018668107743312318,0.05916182943803547,0.0640244198035145,-0.06607218706076633,-0.021153163584979862,-0.012873946892825758,0.02884278997412509,-0.019904478431225576,0.05674955201775978,0.07262814972315061,-0.004864993757932186,-0.11653488063050312
max_NeighDiff_shell1_AtomicWeight,0.009553400415854002,0.15016743462616164,-0.07905692465198612,-0.034817687233086925,-0.026112034120934893,0.0216882754864438,0.005725705257413025,-0.07315362322455428,0.018370690371159504,0.04748859097341658,0.041768314820509723,-8.150980760846278e-06,-0.008482910562111038,0.030023619476953253,0.046260947394156475
range_NeighDiff_shell1_AtomicWeight,0.032932395789466544,0.11563510399168131,-0.09334790916755568,-0.030118569494913566,-0.0580311313355242,-0.006621900998089586,0.03844867291008316,-0.07203423890377071,0.026899762616555096,0.03944146719338703,0.05662289930591762,-0.02750134682867938,-0.04472594594630309,0.036126843413142984,0.10848848598429799
mean_NeighDiff_shell1_MeltingT,0.035934683706059706,0.0343437328890663,0.004977425602824601,0.05790575484472878,0.0791417239332437,0.12403702024090382,0.06402778816402538,-0.04655202827294684,-0.0755952747531125,-0.0846527427202154,-0.014927349813016659,-0.003406644556619205,0.06602628260028633,-0.01130740981481173,0.05395698702512166
var_NeighDiff_shell1_MeltingT,0.05906982395673518,0.009897859362371739,-0.04190186488003346,0.0209148909122672,-0.020765221067091423,0.0802299861991107,0.11567869392120333,-0.03327750876691043,-0.061371655329772984,-0.08419894697739072,-0.0413612654921421,-0.00188598274964414,0.029351901487046365,-0.06685369563494399,0.06969825390593398
min_NeighDiff_shell1_MeltingT,-0.00030875904381469306,0.0435141425031627,0.02160735046431786,0.06673604889099012,0.10443858330088308,0.09369351143498098,-0.0034492602026315847,-0.044594353973867754,-0.0682939188196651,-0.04997630897595454,-0.00973498669264918,0.028654860361457767,0.08251341542078415,-0.01572976295404779,0.002228138911443759
