Feature,trans_Pearson,trans_Spearman,trans_Kendall,trans_DistanceCorr,origin_Pearson,origin_Spearman,origin_Kendall,origin_DistanceCorr
range_NeighDiff_shell1_Electronegativity,-0.1766295932085661,-0.21371351530150165,-0.14540713571190397,0.21250583648116436,-0.03915047652102998,-0.10821614064140979,-0.0724962444145719,0.13430235901472054
mean_NeighDiff_shell1_NsValence,-0.24207050144092926,-0.10012645023627223,-0.06426808936312105,0.28686775997259634,-0.24796158961479775,-0.3507479968027952,-0.2554833856395316,0.3005810260739705
var_NeighDiff_shell1_NsValence,-0.196136537112606,-0.1395964315107146,-0.09399711014782705,0.25329741279880785,-0.24051971415319312,-0.34118266783157597,-0.24762864807002108,0.28829635580564134
min_NeighDiff_shell1_NsValence,0.12127320173983287,0.22959555351061703,0.15962031788373904,0.28228544945783623,-0.1395574457740091,-0.31399209980177184,-0.2369274777394445,0.1583138246939793
max_NeighDiff_shell1_NsValence,-0.16447723296014066,-0.10713389457043271,-0.07105079470934755,0.2406431540780479,-0.25207248418068495,-0.3157096571413996,-0.23323236554489712,0.2982762368018254
range_NeighDiff_shell1_NsValence,-0.22202427039752176,-0.19389245443249492,-0.133135045015005,0.2624255889012785,-0.22454981545631936,-0.3199499642467338,-0.2304428908921523,0.27969046645471424
mean_NeighDiff_shell1_NpValence,-0.6608951645216474,-0.5884268058252006,-0.4220153384461487,0.6054209684082136,-0.02683652844372382,0.00487113120163058,0.003083907979018293,0.12665967960320915
var_NeighDiff_shell1_NpValence,-0.10199308786090557,-0.12521275035697227,-0.0848487273535623,0.1398239372498261,-0.04031872577201949,-0.13132696859387677,-0.08589232614983779,0.1326316212857194
min_NeighDiff_shell1_NpValence,-0.653464276921169,-0.5677625079736119,-0.4049278648438368,0.5915937812810987,0.006997211004095159,0.029432627107613556,0.017917121078066707,0.13217954758039616
max_NeighDiff_shell1_NpValence,-0.560584117273655,-0.5310538732282081,-0.37398999666555516,0.5289843548849641,-0.05235645398715695,-0.10176380210746443,-0.06657289993907294,0.14269468466931648
