,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
max_NeighDiff_shell1_Column,0.09700268702107068,0.044599273605661974,0.06944514680986515,0.0027393166642249557,-0.014312140819685917,-0.025011028457858558,0.020909355397152406,0.036620739728703305,0.04174733416240146,-0.06949270259700167,0.0349446053762418,-0.041174655994782275,-0.07143763438280529,-0.10090593746893034,-0.02467509101736861
range_NeighDiff_shell1_Column,0.09257277505465801,0.00728448364457067,-0.02058587867230516,-0.01906462318391669,-0.07082792365610485,-0.05810350847632639,0.05671233268407198,0.04633759695741813,0.07261702927099811,-0.057673206526881814,0.039951962588314925,-0.03791151359964153,-0.05959131036613074,-0.04908511520464551,-0.0706304468096352
mean_NeighDiff_shell1_Row,0.02866700213130893,0.1345244402796902,-0.005338973596765382,0.008674520800730792,0.045929621986399126,0.06150950603550144,-0.0855513773750759,-0.07134402372275744,0.008642601672728609,0.05101117578988152,0.0009955867073502165,0.08405403599277998,0.08440917770768057,0.009621929986707288,-0.054224114164074785
var_NeighDiff_shell1_Row,0.05235424168209338,0.1024089772441882,-0.0639103524738006,0.018313934432285305,-0.034299186272536974,0.007500079488536596,0.02498181649830217,-0.07177422253429276,0.016651401146054595,0.05349622311963996,0.011284319570996619,0.045599912602953346,0.031236167363108955,-0.0572518617817007,-0.0008199315805140065
min_NeighDiff_shell1_Row,0.0005699091798322739,0.1105630123495353,0.009211423733939999,0.009588050597421719,0.05609896671012205,0.05582471639883585,-0.10970682647901955,-0.05592029334000544,-0.004071888177312792,0.03794095001548227,-0.011714539150580485,0.10147309390414062,0.09824712994322231,0.008047887399076978,-0.06802848507401685
max_NeighDiff_shell1_Row,0.06416760245395782,0.12319519118523423,-0.055706215438157895,0.003628948468612229,-0.035645707661731994,0.03643151007826598,-0.021409823251284477,-0.0842674995546253,0.02693359386849091,0.05689696867643722,0.035252825187480595,0.02326207401320912,0.028137453623263812,0.027310643990727555,0.008756914322393929
range_NeighDiff_shell1_Row,0.0734622566454847,0.07078144974061805,-0.0700047942080311,-0.001978448396667107,-0.0770172094675168,0.00608724712025453,0.04577818897302619,-0.06106359985434317,0.03360183554212733,0.041111812012416656,0.048078678945585276,-0.03836256590666964,-0.03068273275275592,0.026257021840278238,0.05373682882570275
mean_NeighDiff_shell1_CovalentRadius,0.06951347543917184,0.1023121978143562,0.07958971913979339,0.03158727114516075,0.03438339131807637,0.011809884099008178,-0.09272306491127111,-0.0443227401043836,-0.0033568021658044226,-0.011006548990791993,-0.023324199286324957,0.02239758551507483,0.049366355169928794,0.007870638765514911,-0.029967239723823934
var_NeighDiff_shell1_CovalentRadius,0.07195903448753009,0.07743791854387462,-0.029391660277726852,0.02905149910874782,-0.08871818912309878,-0.038425874991761325,-0.03209998821878817,0.005852231657133225,0.040318259252483155,-0.04592086819818916,-0.07313319849011865,0.07872505638871478,0.07602185245112655,-0.06720646273965106,-0.03428340863487778
min_NeighDiff_shell1_CovalentRadius,0.04313638914781929,0.09165136734584009,0.09518095344694145,0.036850375234101604,0.07568226863927188,0.022712185498262902,-0.08921418852160298,-0.06522482086931204,-0.030464066700182736,0.021585367179800988,-0.00028969917256049067,0.017300341496767232,0.042505669644760095,0.004523079006547442,-0.02856673227872341
max_NeighDiff_shell1_CovalentRadius,0.09107038118621133,0.08975318409998789,0.018299238230417503,0.023428147955427255,-0.057128053226100456,-0.0158630446638709,-0.06517122416959398,-0.027066638088046567,0.04062766519956264,-0.0350899331393038,-0.03910477958584388,0.020761187861182865,0.055727794578646,0.022522681127239742,-0.01045150491148304
range_NeighDiff_shell1_CovalentRadius,0.08344803238411372,0.05085364562010864,-0.03849270970871079,0.005017302749599431,-0.11797269170215438,-0.03384211152349621,-0.02244860440612546,0.008672076433463889,0.06897804599739005,-0.056557101602897696,-0.047477920523422965,0.01425424533864341,0.040773497447582054,0.024562716031793774,0.005508140800892776
mean_NeighDiff_shell1_Electronegativity,0.09574151066866614,0.046259201536952246,0.0874974918198258,0.020200689524105756,0.07844480231775879,-0.026823259265844543,-0.03192427166435457,-0.030933014222305096,-0.04280944156111094,0.018218497471249824,-0.003284391184123867,-0.04202643411678244,-0.012915956732184257,-0.010706816820837997,-0.041757558061610446
var_NeighDiff_shell1_Electronegativity,0.09407681255428833,0.03120003738164313,-0.031830019171366124,0.01805719767194676,-0.04643094357043787,-0.06915684828425082,0.01519317745234628,0.020442443875945966,-0.0056386886154481735,-0.02279787218074156,-0.07003282831960912,0.05056821119612745,0.029301518965795824,-0.11734424473617734,-0.11418346139126988
min_NeighDiff_shell1_Electronegativity,0.07061749789348797,0.05050537347857729,0.10701224825657316,0.024459076660668478,0.10716587170991648,-0.014509624846231339,-0.04806225169811938,-0.047090446266882885,-0.05338706466747297,0.03704721987588098,0.007326628479805017,-0.03854158721057164,-0.005805537753593243,0.0025797268359085777,-0.006137128514702722
