,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
min_MeltingT,-0.7179921505080699,0.02446979328520207,-0.073054195496557,0.07218710136256216,-0.22510532135947353,-0.14209952598951575,-0.01833318048895034,0.19354463185471696,0.0727361658445,0.07196720405201809,0.018685002685861863,-0.07253001701069914,0.098373648483291,0.025075609291213188,-0.02565757268989432
most_MeltingT,-0.7161457361995569,0.040127378617295796,-0.05890973731611757,0.1357779876163113,-0.19224010219778975,0.0010220662956612096,-0.008852550819976168,0.22686701426018982,0.07671531034684419,0.031329646618596885,0.1362353798818612,-0.07283113348736688,0.19066403346962224,0.06952563192674846,-0.033943390676224254
mean_Column,0.7781114803054595,0.004703494940739949,-0.3739673965416486,-0.032244658719488964,-0.08230579573332701,-0.07877969973841752,-0.1436610038029811,0.11319328498047454,0.0030773544546074502,-0.08966436561133026,0.2129250381039154,0.14973375136723965,-0.010887653474946081,0.03680778265308352,-0.013567064568978294
maxdiff_Column,0.4980010692998828,-0.018429809235791135,0.6131805434198877,0.07598658318707613,0.28736154482625165,0.09067494513768956,0.2135687174017005,-0.12036672291040712,0.0074720040452540635,0.032114353871445504,0.18485163883525882,0.0313506192032544,-0.08152319265755838,-0.02112191857767988,0.1583869640300806
dev_Column,0.2586915111829172,-0.04292568064274348,0.484602315458127,0.10410437265849042,0.5937309158172198,0.20015284149957085,0.18168347676464772,-0.03272016112810117,-0.06407405518823368,0.06497889847859106,0.07699974381724041,-0.02234694690306119,0.0035431736048210432,-0.07092555163528592,0.1310069172676436
max_Column,0.768308588946693,-0.026688387256871306,-0.021750892212836683,0.0015788546583277848,0.259736621822846,0.16139281731977317,-0.01556103846219005,0.04244439314902733,-0.014688072849699729,-0.0864864539901833,0.3156488792720981,0.2043071102874223,-0.022183137577009817,-0.05204629245074848,0.01592739100003101
min_Column,-0.020592783922617253,0.002112658061814767,-0.7744314382609072,-0.09266069583697939,-0.1539955287493128,0.012892900834810171,-0.27591273040259473,0.18156861204642855,-0.02060085221430478,-0.10662125453431504,0.0159352423463072,0.11940625827926674,0.08355287451511285,-0.014189056002247614,-0.18336159436045493
most_Column,0.7419166111545797,0.012318979731004407,-0.24658942689772326,0.05296999652040572,0.1868390563821014,-0.24972468507547047,-0.06911234487497465,0.05800541674584723,0.03633189366423844,-0.02096607327381338,0.11662047167824634,0.03150374717256955,-0.10998547019068988,-0.00512346669072909,0.10108694711026586
mean_Row,-0.5933096277507396,0.20721746144163078,-0.032302944392413754,0.060446317886581,-0.008107273262133577,-0.19816467629736292,-0.08489132672517673,0.6395507969521861,-0.06139058078040467,0.20032382145328403,-0.0375324272851254,0.1645871371893679,0.07229612484431054,-0.02216832422423195,0.15695184124053246
maxdiff_Row,0.33151243466207947,0.6550020279603369,0.02249790856532101,0.09766296377078376,0.04417334361926537,0.1569970043029337,0.021851095028624874,-0.43431089834186026,0.0052908346252748305,0.1711882184017131,0.059723752690740636,-0.036007291891359816,0.10045307524231482,0.02214889159541725,0.2615267202578049
dev_Row,0.20946040847676378,0.6002716809207619,-0.07095914390426404,0.12694712990924983,0.2480750824325372,0.024660341935900623,-0.0881657924515558,-0.30273028695951,-0.018132882679187928,0.14453785701641128,0.019690947635352746,0.049917865068962716,0.4422108184848212,-0.06126432953267395,0.2663820252335327
max_Row,-0.17651416758716498,0.7139319738245659,-0.014897659675956102,0.13615228623305403,-0.03850103251650203,-0.10796811575972587,-0.049651206666919086,0.1877366112001552,-0.05471924912324354,0.3325435324843598,-0.008862852227360883,0.05853992499901753,-0.0175033286905374,-0.03307061487414763,0.3451765082244652
min_Row,-0.5482643160247967,-0.04782136708573281,-0.040051438595126464,0.021810707689147047,-0.08765182514114257,-0.2833957915506458,-0.07317967596026666,0.6758782699178189,-0.05932138028033261,0.12971272568721992,-0.07642380431661441,0.0979081676459474,-0.13107169846058922,-0.05736225480186128,0.0394849087915171
most_Row,-0.6378553282449325,0.0367147352594745,0.029055014054352724,0.011255234181100355,-0.0892741605984902,-0.10430536602742747,-0.04520299306791131,0.6460767512266306,-0.05219698986047453,0.13616987960039564,-0.014912924584397495,0.13665071874129203,0.041853108632840696,0.04380874510125171,0.04129180002400471
mean_CovalentRadius,-0.7188008539694043,0.0785617446446586,0.13709419412868626,0.04954689322815036,0.07367784535815332,-0.24924354649288044,-0.07978347908217864,0.42647049655908875,-0.09951382688815513,0.17475544099462367,-0.07353946050072428,0.11934519189955302,-0.0057429686177675136,-0.04487413808438341,0.2405524571714121
maxdiff_CovalentRadius,0.4981992897400113,0.20689124047443005,0.25441455682091296,0.08333878885938445,0.12609615190906312,0.1614644058622354,0.054987554339191926,-0.2926985618035428,8.796388695188566e-05,0.1530841364014463,0.05101589010082035,-0.1538254588983737,0.12381374141292,0.026680955685292752,0.565430565668818
dev_CovalentRadius,0.42313577098727123,0.2060585195035594,0.2246498845627038,0.12809909685297227,0.4130479780429524,0.00235659783914215,-0.013979542401124713,-0.23270930325561667,-0.032238218487843084,0.1443383932670888,-0.028990301454124158,-0.09418534558061624,0.314081498775219,-0.055661959634057824,0.46590999252136545
max_CovalentRadius,-0.09517356224181774,0.25750472344505165,0.3129885982089904,0.11270920309992864,0.049336531102859175,-0.10469096574719629,-0.01330571973217988,0.09361467812709323,-0.09570070828199857,0.3005373834912635,-0.011390139987245723,-0.06321142630003267,0.012520431251252826,-0.03329294588156458,0.7551349969217608
min_CovalentRadius,-0.7160749903166825,-0.006626502140651614,-0.011736525369518722,0.006123267165577152,-0.10936952466676134,-0.30436023222404623,-0.08177696231187488,0.4576047128349617,-0.09378587146634325,0.10277248629876402,-0.0749360085850863,0.13045906461376938,-0.1425529015519561,-0.06594862263627504,0.03218137595780939
most_CovalentRadius,-0.7604732179356851,-0.010898141155088043,0.11956631312203063,-0.005283612068804052,-0.09195362145963105,-0.09472649520105673,-0.07956299576412706,0.42957122217094434,-0.08505132406800267,0.10291807666479517,-0.03362232196837199,0.1333771808164602,0.014196461574504611,0.022036020649120712,0.05738353196373344
mean_Electronegativity,0.9080826288429104,0.025597839493634443,-0.18985535412424037,0.03576788472366114,-0.06401011059201836,0.07549437785659688,0.0032765479319427303,-0.1421711559632178,0.05734976715705698,-0.11520836954959589,-0.04935128280782231,-0.05106876677049554,0.08892221132401124,0.024523929389149095,-0.07484852242468154
maxdiff_Electronegativity,0.7767814972525809,0.0008668493572012671,0.3432401148870982,-0.010650996601159137,0.25054440111617354,-0.041820370468069745,0.12766687207392247,-0.23157242334685146,0.037931438128598075,-0.031614032821043296,-0.07501177520743177,-0.08651859283799246,0.06991976951566495,0.05664960179012486,0.19499200596872288
dev_Electronegativity,0.6813587485368073,-0.017619175253025508,0.28085478748941306,0.0035808038485326582,0.483661144656819,-0.12118750789930167,0.08305125004812779,-0.1993304606361231,0.015350450880995275,-0.02366970015944576,-0.1245110274601562,-0.07493434922724386,0.13861558440889077,0.0027592979568205234,0.15019819013862937
max_Electronegativity,0.882367914354968,0.005192988770824348,0.019703295863894993,0.009248779966557489,0.18198289491256903,0.08835434940983068,0.06085299359088856,-0.20575868292553814,0.058746326804734746,-0.10918096502397368,-0.076999878581789,-0.06016784931305058,0.1187820091590218,0.048489924320848365,-0.016022033316000894
min_Electronegativity,-0.05889296281993755,0.007478812762082691,-0.6896940144980529,0.039078773147730006,-0.2029651046911531,0.24673519073223327,-0.16057208736112386,0.12026654018828253,0.025197053207280343,-0.1289588807179169,0.020402385761813035,0.07488391371588032,0.0652591005625731,-0.032728230861231826,-0.4406005608821788
most_Electronegativity,0.8781965923222894,0.020496579387806232,-0.10904613343484895,0.04077825020016078,0.13718954961051572,-0.1160237146926674,0.028670776655968417,-0.179969539260494,0.07356800385937667,-0.07352829879254222,-0.058379417709316116,-0.08485397165760188,0.018579990842549417,0.011414743030961185,0.024271067344639873
mean_NsValence,0.2249685891014834,0.06875596696115599,-0.016945304645653005,0.06856129963223037,-0.026320100396871205,-0.2135986548023599,-0.7745521252820821,-0.014815192564223825,0.10542164696887062,0.053422565805169915,0.12734170787341864,-0.09320840632890784,-0.10851242042498384,0.11081310067097655,1.2729887530739545e-05
maxdiff_NsValence,0.08724334932328008,-0.06559711803592524,0.0765747352280266,-0.020647425252603695,0.020832570233248644,-0.009852285554543906,0.9306365874477519,-0.023043894496044513,-0.06943903087476187,-0.03374255249734978,0.0024097837677213583,0.02509239753972126,-0.05078876777825045,0.06007728172957022,0.05604707770079868
dev_NsValence,-0.062416930079002994,-0.08598214594011129,0.03778075125499111,-0.04155936306916785,0.11223718997665884,0.13209177490000587,0.9002826907762332,0.03292275356942846,-0.0818818803824838,-0.030158087645154624,-0.02318311820540852,0.09329797478756757,0.05382439210497281,0.0024507378976079885,0.025014801214321425
max_NsValence,0.14668242292444275,0.008397479558451345,0.005120289390103664,0.037898219782956155,0.04350678238592251,-0.025189964717194615,-0.0160528790727048,0.03638560211393592,0.03555788810488336,0.06571026567979343,0.19074159067572086,0.02233351483357572,-0.012297123833477848,0.07365616069882124,-0.004842752498631902
min_NsValence,-0.06879177649530055,0.06655731448628854,-0.07583049459470337,0.02535592133585856,-0.015366606365876855,0.006690559929303983,-0.9313754050124302,0.027560075755057836,0.07378857282945908,0.04190923467048068,0.021432875819360403,-0.022266921611910646,0.0491826679011174,-0.050789719860060534,-0.05657600217509744
most_NsValence,0.30469401957521913,0.0246898580924707,-0.018753245691112728,0.0586580260887766,0.0867504954887914,-0.3276794448912904,-0.43865484265949134,-0.003249038747541504,0.09046212856013536,0.01778704643961598,0.0755432279128744,-0.09634767930936211,-0.1676577989951694,0.15486236081204616,0.08608835500014331
mean_NpValence,0.9076761591058908,-0.02241920272787317,-0.14082085901999278,-0.04750980092175677,0.01709449445107517,0.01946769004156195,-0.1359414383616499,-0.017914070549914722,-0.09427615892107205,-0.0783641154125711,-0.019657825554543113,0.06360671979053924,-0.07659397005449634,0.015272316769817652,0.06266195813988457
maxdiff_NpValence,0.8353310003687345,-0.04537668359231628,0.1348983707901233,0.038328568095292975,0.2809193381087198,0.17159637870170488,0.019676343933166265,-0.004603011318077017,0.005533815182207871,-0.07916508546922738,0.09166556031470127,0.08957265636080987,-0.07410335963038897,-0.06497504364642712,0.056703094646922525
dev_NpValence,0.6653747043718926,-0.06560930165338091,0.11905040576470857,0.09227244790185705,0.5727060140897864,0.11980456576529626,0.07956781790965885,0.024555696906176663,0.04620130350203012,-0.052417497421890315,0.05304582182062639,0.0644377534935698,-0.05534800881078497,-0.12170963619327574,0.0776480374886232
max_NpValence,0.8630401885367751,-0.0547499634943538,-0.02081082552519427,-0.02074000989082373,0.2571424966229467,0.1786527027833996,-0.04001583042979262,-0.00595804092707228,-0.03334592983966409,-0.0933469004847908,0.0678841092371212,0.10111027839232074,-0.07458592984772629,-0.037738206364886,0.0516581872349821
min_NpValence,0.057519756758528585,-0.02970058198136334,-0.5317652310550097,-0.20117141894940166,-0.09244262125288286,0.01642380372864202,-0.20247224864422922,-0.004378109016715583,-0.13156326803878055,-0.044483243725760464,-0.0842852838534794,0.03510249111026675,0.0015701672610722883,0.09480392993094926,-0.019488924601069622
most_NpValence,0.8526393832762966,-0.011320854858298117,-0.10770052544178638,0.019924109285520922,0.22043232027770546,-0.14746264561267267,-0.0732117700476023,-0.03785781636909616,-0.023707399905482443,-0.052239871170242834,-0.040532666835710815,0.014446514890859968,-0.13839280814762406,-0.0025217299903312336,0.10465079644436556
mean_NdValence,-0.35594970791926744,0.03812578193812694,-0.29476398736368853,0.009095230547663025,-0.05527571070495396,-0.10786526332937094,0.07647547090451279,0.6077598886435025,0.0534582415558863,0.0009683785337971989,0.1068227011207856,0.46783922170500647,-0.0692774999795727,-0.07026522443545097,0.0012029161592366922
maxdiff_NdValence,0.015911680875021463,0.24214389713237022,0.03559285031272207,-0.05963775376594986,-0.035566751149005184,-0.11207970201195286,0.10369492102809183,0.04018631589514898,0.13483811999373818,-0.037750305035467786,0.10796272696421277,0.7907120852888476,0.004681247759559234,0.10795754566595615,-0.04411892957381078
dev_NdValence,-0.16920315263416905,0.1931114477807391,-0.05989194744220124,-0.04819246784951927,0.06849288858228691,-0.10720113629862438,0.02986428032545973,0.21029485501741177,0.09054610799626547,0.00030893913572922093,0.08063451598934787,0.7693606588924069,0.18883373833100617,0.06877583353191448,-0.055616132681149275
max_NdValence,-0.059833417502701054,0.20765034389763015,-0.13236128314302242,-0.06074682017009705,-0.05517592640750564,-0.14574953989476902,0.12394609558318118,0.22827194114022106,0.12825189694824543,-0.0737607835313987,0.1051594276984593,0.767149306313875,-0.06001712422647511,0.0717136831035491,-0.05196855011038396
min_NdValence,-0.17504046427945838,-0.08583027111750043,-0.3881357816240496,-0.0010034474171691787,-0.04428139209495681,-0.07470444029312943,0.043986884957225296,0.4325738932659301,-0.01869641895383022,-0.08203678267785242,-0.009275055113003163,-0.0749190776815164,-0.14928033774340133,-0.08637022857509155,-0.016947643634077032
most_NdValence,-0.3571900429723423,-0.022339505884239132,-0.19280574735684794,0.03401206895186133,-0.07194676052963904,-0.03245259204562636,0.07539142311474012,0.6105137051014894,0.012504660267225274,0.06909985566076632,0.11333758279462021,0.3025813463354445,-0.12566835133519527,-0.09543031862169528,0.061412920075630054
mean_NfValence,-0.2906772755191809,0.5397148913623021,0.06076359098258462,-0.09192623197228329,-0.02787963469074821,-0.06981883765097212,-0.045676525446271585,0.5714066515904235,-0.06184481257033597,0.026730120669248934,-0.06961559386286571,-0.14973604825340187,0.18297266917237365,0.0598807383028053,-0.17158543793830042
maxdiff_NfValence,-0.12895915201868474,0.863520480272273,0.03006489729450768,-0.016251838190530648,-0.00611473611114401,-0.03291714670465091,-0.047622958612497795,0.2831753136582587,-0.056507454469172644,-0.012771514536675762,0.02410649571599476,-0.08093136326649154,-0.01190610414340985,0.022113241581702872,-0.08569097561589127
dev_NfValence,-0.22877106980027195,0.7627291959163979,0.01691995325787753,-0.04492425227704189,0.027576464115034664,-0.0329152414814264,-0.06775505869203904,0.3849013180458526,-0.07476163407373468,-0.007050375594434644,0.020643191159777367,-0.05674426259092471,0.1737714962452442,0.053672887853461575,-0.13535568131342418
max_NfValence,-0.14317981339120087,0.8491061741353368,0.03247068419589734,-0.026692146408817445,-0.0158122098662615,-0.04340787823635632,-0.049986648190684026,0.3402867139404915,-0.05695783682522224,-0.006909396209662752,0.004866437875520542,-0.10825050648905253,-0.012270566499102324,0.019770646713277773,-0.09440518452903461
